,Title,Review,
108,Excellent,"Dear Dhuttonrose, Thank you for the review provided! We are extremely happy to hear that you had a great experience with us and enjoyed the tour. We look forward to seeing you with us in the near future! Best, Sasha",
109,You definitely have to do this tour,"Dear Dhuttonrose, Thank you for the review provided! We are extremely happy to hear that you had a great experience with us and enjoyed the tour. We look forward to seeing you with us in the near future! Best, Sasha",
110,Gothic Quarter overview and great drinks and tapas,My husband and I truly enjoyed our tour to Montserrat and the Cava vineyard. Valentina was our guide and she is a gem!! We don’t do many scripted tours during our travels yet decided to give this one a try. We found it to be the BEST experience. Definitely recommend!!,
111,10,"Dear Heidi T, Thank you for taking the time to provide us with this feedback. We look forward to seeing you with us in the near future! Best, Sasha",
112,Perfect Evening!,"Dear Heidi T, Thank you for taking the time to provide us with this feedback. We look forward to seeing you with us in the near future! Best, Sasha",
113,Wanted To Love It,This tour was simply amazing. Our tour guide Valentina was the best. She was very knowledgeable on the history of the area and made it easy to understand. The historical areas she brought us to in the Gothic Quarter I would not have found myself because that place is a maze. The bars and restaurants visited were very unique. The food and drinks were excellent. I can now say that I have a good understanding of local drinks and tapas that this area is known for. I would definitely recommend this tour to friends and family.,
114,"As usual, and excellent Devour tour","Dear xcrunner1330, Thank you for the review provided. We are so glad to hear that you liked the mix of history and food during the tour. We look forward to seeing you again soon! Best, Sasha",
115,Enjoyable Segway tour,"Dear xcrunner1330, Thank you for the review provided. We are so glad to hear that you liked the mix of history and food during the tour. We look forward to seeing you again soon! Best, Sasha",
116,Fun way to tour Barcelona guide very knowledgeable and helps you learn to ride Segway,"A fun morning learn about the city and it’s food. Markets, cheese, drinks, candy and pastries. Intelligent guide, friendly and knowledgeable. Do again in any city",
117,A great way to see the city,"Dear lindaRexburg_Idaho, Thank you for the review provided. We look forward to seeing you again soon! Best, Sasha",
118,This is a must if you want to see the city highlights and learn more about it. Plus it’s fun on the segways!,"Dear lindaRexburg_Idaho, Thank you for the review provided. We look forward to seeing you again soon! Best, Sasha",
119,A fun way to explore central Barcelona.,"Been a while since our previous DevourTour (pre-Covid) - we were on a one day stop in Barcelona while cruising the Med - so the best thing we could do was get on another Devour Tour. And that was definitely the right decision - a wonderful, informative tour guide, the charming Valentina. A small group. And a fun wander through historic Barcelona starting in our favourite market (no, not the tourist trap market on Ramblas) - lots to eat, lots to drink. almost 4 hours - and a great pleasure . Highly recommended.",
120,Fantastic Segway Tour Experience!,"Dear patersa, Thank you for the review provided! We are extremely happy to hear that you had a great experience with us and enjoyed the tour. We hope you had a great time not only with us but also enjoyed the city fully. Best, Sasha",
121,Segway tour,"Dear W1156IVbobbym, Thank you for providing us with this feedback. We can't wait to see you on one of our tours again! Best, Sasha",
122,Couple celebrating 10 years of marriage! Loving the tour! Fun for all!,"2,469 reviews",
123,Fantastic!,"What a delight to tour Barcelona, focusing on Antoni Gaudi, with Marta from ForeverBarcelona. We zipped through lines, were given a knowledgeable insider perspective on the sites (so expert on La Sagrada Familia), and she adapted our tour to our needs and timing. Our driver was always waiting for us so we never wasted time. She even recommended what we could explore AFTER our tour with her was over AND took pictures of our group. We learned so much and had fun at the same time.",
124,A fantastic experience!,"Dear Cynthia, Thank you for the review provided! We are extremely happy to hear that you had a great experience with us and enjoyed the tour. We look forward to seeing you with us in the near future! Best, Sasha",
125,Average Segway tour,"Dear Cynthia, Thank you for the review provided! We are extremely happy to hear that you had a great experience with us and enjoyed the tour. We look forward to seeing you with us in the near future! Best, Sasha",
126,Fun way to see parts of the city,Our guide Dom was amazing. The history tour was exceptional as was the choice of tapas food not to mention the wine. Would recommend this tour to friends.,
127,"There were only four people counting Ana: Myself, my husband and a very nice young lady from London.","Dear W1156IVbobbym, Thank you for providing us with this feedback. We can't wait to see you on one of our tours again! Best, Sasha",
128,I loved this tour!,Ariana took us on the best day tour. She was so lovely and shared lots of history. We are market experts thanks to her. Lots of bites and delicious drinks. I would give this tour a higher score if I could.,
129,5 Stars All The Way,"Dear maintzmo, Thank you for the review provided. When we read such comments, we understand that all our hard work has not been in vain. We are very delighted to hear that you had a great time with us and enjoyed every minute of it. We can't wait to see you on one of our tours again! Best, Sasha",
130,Segway,"Dear maintzmo, Thank you for the review provided. When we read such comments, we understand that all our hard work has not been in vain. We are very delighted to hear that you had a great time with us and enjoyed every minute of it. We can't wait to see you on one of our tours again! Best, Sasha",
131,Best Excursion of our 12 City Vacation!,Excellent tour- great guide and great stops. It was the perfect way to learn about Barcelona’s history while also enjoying amazing food and drink.,
132,Superb trip,"Dear martines240, Thank you for providing us with this feedback. We are glad to hear that you enjoyed your time with us and cannot wait to see you back on one of our tours. Best, Sasha",
133,Fantastic fun way to get around the city,"Dear martines240, Thank you for providing us with this feedback. We are glad to hear that you enjoyed your time with us and cannot wait to see you back on one of our tours. Best, Sasha",
134,A very delightful and enjoyable experience,"I've been on a few food tours and this one has been my favorite. You get a good amount of food and learn a lot about Barcelona and the Spanish culture. Also, the croissant is to die for. We had Valentina as our tour guide and she was phenomenal! Extremely knowledgeable and so passionate about her job. You can tell she loves what she does and she's so good at it. She also gives great recommendations and is helpful even after the tour. Don't hesitate on booking this. You won't regret it.",
135,Brilliant e-bike guided tour of Barcelona,"Dear h3ctor_r, Thank you for the review provided. We are glad to hear that you had an enjoyable time with us. We look forward to seeing you in the near future! Best, Sasha",
136,Great fun,"Dear h3ctor_r, Thank you for the review provided. We are glad to hear that you had an enjoyable time with us. We look forward to seeing you in the near future! Best, Sasha",
137,Fabulous activity,Our guide Bene was great. She really knew the Gothic Quarter and gave us lots of good information. We visited 3 restaurant/bars which were quaint and we had various delicious drinks and tapas.,
138,Superb,"Dear sandratx0705, Thank you for the review provided. We are so glad to hear that you learned new information on the tour. We hope you had a great time not only with us but also in the city. Best, Sasha",
139,Excellent tour offering with a fun and experienced guide!,"Dear sandratx0705, Thank you for the review provided. We are so glad to hear that you learned new information on the tour. We hope you had a great time not only with us but also in the city. Best, Sasha",
140,Great tour,"I stayed at Casa Camper in November, 2021 near Catalunya Square. I passed by the square daily, did a lot of shopping around and use the Metro alot. This is the center of everything in Catalonia. Lo-end to Hi-end outlets, fast food chains to fine dining, everything you can imagine is availabe around the square. Add the presence of tourists and locals having fun, the aura of romance around, the melody of smiles, this is the Trafalgar Square of Barcelona. What more to say.",
141,Great experience,Excellent service and very friendly drivers. Everything was perfect. Thank you Roman Llort! Well done!,
142,Segway Tour,If you get the Aerobus like we did the final stop is Plaza de Catalunya and it is the centre of the city. Loads of shopping streets & restaurants are nearby and the square itself has some nice buildings but probably not as stunning as Placa d'Espanya a mile up the road.,
143,What an experience and way to explore Barcelona,"Wonderful small group tour tour with Devour Tours' ""Tastes and Traditions of Barcelona Food Tour."" Delicious tapas, cava, vermouth, wine and Catalan history. Hector was a most engaging and knowledgeable guide. Highly recommend!",
144,A must-see for history buffs,"Dear carolone, Thank you for providing us with this feedback. We are glad to hear that you enjoyed your time with us and cannot wait to see you back on one of our tours. Best, Sasha",
145,Barcelona in the Spanish Civil War- A Deep Dive,"Dear carolone, Thank you for providing us with this feedback. We are glad to hear that you enjoyed your time with us and cannot wait to see you back on one of our tours. Best, Sasha",
146,"A ""Trip Maker"" - Emotionally moved.","I wanted to love this tour, but unfortunately I didn’t. Our guide was very enthusiastic and knowledgeable and I did enjoy the historical aspect of the tour. The Gothic quarter is amazing and it’s incredible that Valentina could navigate her way around the maze-like streets and not get lost. I would love to redo that part of the tour. As a relatively recent fan of James Blick’s (discovered him within the past year in search of videos about food in Spain) I was familiar with the bodegas/tavernas we ended up visiting on our tour. These places are tiny and taking a group of 8 American tourists into these places felt awkward to me. There was something a bit rushed in the way the food was brought out and I didn’t feel like the staff was very happy to see us. But to be clear I never felt that the guide was rushing us. She was making sure we all had wine and were enjoying our food. James is all about eating like a local and I think his goal is to make you feel like you can go into any joint and feel like you can navigate a menu and pick good options. I felt like with the tour we were crashing a party and the hosts kind of couldn’t wait to see us go. It goes without saying that this was just my personal opinion. I would like to add that I did a similar Devour tour in Sevilla and had a very different experience. Maybe it was due to
it being a different city or possibly the choice of restaurants but I had a much more positive response.",
147,Fascinating and Moving Insight into this Important Conflict,"Dear jaikartar, Thank you for taking the time to leave us feedback and make us better. I am delighted to read that you enjoyed your time with the guide. All our guides are highly professional, and they will provide you not only with the history of the city and country but also with personal, funny stories, secrets of the city, and so on. We are terribly sorry to hear that you felt unwelcome in some local establishments. We do our best to make all our guests feel comfortable and cozy at all times. Unfortunately, we are unable to control the staff; however, they are always aware of our guests, as we have agreements with places we visit for a specific time. We take all feedback seriously, and we will work to ensure that the issues that you experienced are addressed and corrected for future visitors. Please know that we value your business and want to ensure that you have an enjoyable experience every time you visit. If you have any suggestions or concerns, feel free to contact us at feedback@walks.org. Best, Sasha",
148,Recommended if you love history,"Dear jaikartar, Thank you for taking the time to leave us feedback and make us better. I am delighted to read that you enjoyed your time with the guide. All our guides are highly professional, and they will provide you not only with the history of the city and country but also with personal, funny stories, secrets of the city, and so on. We are terribly sorry to hear that you felt unwelcome in some local establishments. We do our best to make all our guests feel comfortable and cozy at all times. Unfortunately, we are unable to control the staff; however, they are always aware of our guests, as we have agreements with places we visit for a specific time. We take all feedback seriously, and we will work to ensure that the issues that you experienced are addressed and corrected for future visitors. Please know that we value your business and want to ensure that you have an enjoyable experience every time you visit. If you have any suggestions or concerns, feel free to contact us at feedback@walks.org. Best, Sasha",
149,Don't miss this unforgettable history tour,"I had a wonderful tour - Barcelona at Sunset: Tapas and Wine - with Ariana C on May 2. Ariana was a terrific guide for our small group. This was different than most food tours - instead of quick bites at 6 or so places, we visited three spots, and had some wine and 3 or 4 items at each. I enjoyed the more leisurely pace for an early dinner. All the food choices were excellent. I've done Devour several times before in other cities, and they're always great.

For this trip, though, two suggestions:
-- Better communication. I booked a few weeks prior to the tour, and had NO communication after I got the receipt. Usually, there would be a confirmation by email a couple days before, and a text the morning of a tour. That was serious miss this time.
-- Meeting Point. The little park where we met was right across from the first stop, but in a no-car zone, so all my taxi could do was get close, and point. If I hadn't had GPS working on my phone, I would have been lost. Definitely choose a better meeting point, so I can give the taxi the address, and it's not hard to find.

But again, the tour was awesome, and I'll definitely look for Devour options when I'm back in Europe.",
150,Amazing Tour,"Dear vivavino, Thank you for taking the time to provide us with this feedback and make us better. We are delighted to hear that you have wonderful memories from the tour. We are so touched to have you with us all the time. We can't wait to see you on one of our tours again! Best, Sasha",
151,A Great Experience,"Dear vivavino, Thank you for taking the time to provide us with this feedback and make us better. We are delighted to hear that you have wonderful memories from the tour. We are so touched to have you with us all the time. We can't wait to see you on one of our tours again! Best, Sasha",
152,"If you want to start to understand what happened in Barcelona in the Spanish Civil War, this tour is a must","3,236 reviews",
153,NOT TO BE MISSED!,Very enjoyable tour riding on Segways. It always amazes me just how quickly you get used to riding a Segway. This tour takes you to places the bus can’t reach and is much faster than walking! Fantastic tour I would recommend to all,
154,Spanish Civil War tour with Nick Lloyd,"Our experience was amazing, I was alittle sceptical on using the Segway (although I booked the excursion) but with the support of Shannon our guide, I was more comfortable/confident. Our family of four had a blast! Our guide was positive and very friendly.. by the end I was ok.. the traffic/people can be a little much at some points but this is a great way to tour Barcelona🇪🇸",
155,Experience History,"A great way to see the city of Barcelona. We saw a lot more than you can cover on foot mainly using cycle paths so very safe. The Segway was easy to use and training was given before we set off. Our guide was very informative and friendly and he spoke excellent English. The group was small and we really enjoyed the experience.
Definitely recommend.",
156,Spellbinding tour of complex story,"We did a 3 hour tour and it was fantastic! We got an amazing overview of the whole city and Anton was a brilliant guide. Very knowledgeable, friendly and gave us a great experience!",
157,An exception tour!,"Great way to see the central area of the city. Lynn, our English speaking guide, was really helpful and even gave us restaurant recommendations which we then tried out. Excellent customer service throughout.",
158,Excellent Saturday Morning Experience!,"We took a Segway tour with an incredible guide, Étienne, and really enjoyed the experience! We were first-time Segway riders and Étienne patiently showed us the ropes and it was smooth sailing throughout the tour. Would totally recommend this tour to zip around Barcelona and see some incredible sights including the Arc de Triomf, the Ciutadella Parc, and Barceloneta beach.",
159,Barcelona and world history in a three-hour tour of exceptional quality.,"Great experience to see some of Barcelonas sights. Kids loved it. Highly recommended
Guide was very helpful.",
160,Superb Tour,So much fun was had! The staff are great very friendly and sophie our guide aided us in learning how to use the Segway as we where completely new to it. After an introduction we went off around the city! It is an amazing tour which allows you to enjoy the city! Well worth the money!! Best tour of our trip!! Highly recommend! X thank you for having us.,
161,Outstanding tour!,What a fabulous experience from start to finish. We had never ridden a Segway before but were able to pick it up in only a few minutes! Our guide was awesome on the Segway instructions and the history of Barcelona. It was a fantastic way to see Barcelona. Definitely would recommend!,
162,An Incredible Historical Tour,"This was genuinely fun experience! We were a group of 6. We arrived and were greeted by a friendly team who organised us efficiently. We had a 10 min training session and then we were on our way. Our guide (Jordy) was really friendly and enhanced the whole experience. We went through the park, along the seafront and through the city. There was no rush and we all felt safe at all times. We enjoyed it so much we wanted to take another tour in the afternoon!! (unfortunatly we didnt have time).",
163,Phenomenal Civil War Tour,"3,236 reviews",
164,Brilliant tour. Brilliant host.,"I have tried Segway several times in many different cities.
This was average performance.
Hard to hear the guide since there were no headsets… and more focus on Segway drive than the tour of Barcelona it self.
",
165,Excellent experience!,"After a quick intro to riding a Segway, we went on a tour to the port and downtown areas. Our guide was very friendly, but it wasn’t always so easy to understand him. But overall, this was really fun and I would still recommend it to anyone considering a Segway tour.",
166,The best history class EVER!,Mario was a fantastic guide! The Segways were easier to operate than expected and Mario provided a wealth of information about Barcelona along with beautiful views!! Highly recommend!!,
167,A Brilliant Must-Do Part of Any Barcelona Trip,"We had a fabulous time thanks to our wonderful guide Ana. She made sure we were safe, gave interesting history of the sites we stopped at and all with a fun sense of humor.",
168,A wonderful walk through History,"I really enjoyed spending time with Etienne our tour guide (Unrelated, but he looks very much like Gerard Butler). He was very engaging and really knew the history of Barcelona. Using the segways for the first time was made very easy by Etienne’s initial training session. I would recommend this tour to anyone wanting to get to know the city!",
169,Super solid historical tour,"Hector is a wonderful, kind, and knowledgeable guide. The equipment was top notch. The route was full of interesting and beautiful things to see. Ask for Hector as your guide!",
170,Definitely recommend for those wanting to delve deeper into the recent history of Barcelona.,We had a great experience. Claudio was great and I would highly recommend him. He had a great personality and knew tons of valuable information.,
171,Unparalleled and engaging walking tour.,"Oriol was a fantastic advocate for Barcelona and made the tour not only fun but interesting/educational as well! Really liked the route which highlighted some of the secondary sights of the city as we visited the major attractions (Sagrada Familia, Casa Batllo, etc.) earlier in the day. I HIGHLY RECOMMEND this tour even if you only have a limited time in Spain!",
172,Compulsory for anyone interested in Civil War history,"This was a really great trip. Very professionally run, with a lot of focus on safety. Once everyone was up to speed with riding a Segway, our guide (Oriol) took us on a tour around the park and port area. Very interesting information, with lots of time to stop for photos. Oriol speaks excellent English and had a lot of information about the history behind the sites. A lovely morning trip.",
173,Spanish Civil War in Barcelona- OUTSTANDING,"We had Anna as our guide, we were in a group of 4 people so it was nice for us to learn more about this beautiful city.
Anna was very knowledgeable as she is from Barcelona and told us lots of local customs and legends.
We had a fantastic time and would definitely advise anyone, even if you've never ""Segwayed"" before, to give it a go.",
174,Wander and Wonder,"3,236 reviews",
175,Great place to visit and get lost in the streets,"We had Claudio as our guide. He was very helpful and patient with training on how to use Segway in the correct way.
He was very informative and he made the whole experience very delightful",
176,Surprising,"We did a family group e-bike tour and our guide was Eric. He was extremely knowledgeable, friendly.and helpful. Tour was amazing too - took so many pics and e-bike is the way to see parts of Barcelona you wouldn't see otherwise",
177,Unique Area With Great Archtitecture,"Our tour guide Sharon was lovely and full of knowledge.
Defo recommend the Segway tour as it’s a fun way to explore the city and it’s sights",
178,Get Lost & Enjoy,Just got back from a 2 hour segway tour with Sophie. She made us all feel at ease and was very knowledgeable about the area. Would highly recommend ..especially if you have teens!,
179,Awesome vs Creapy.,Superb experience and the staff were just wonderful! And it was his first expedition too!!!! Thinking to organise again in this trip,
180,Don't miss the Gothic Quarter!,"Anke was our guide and she did an amazing job throughout. Most of our group had never used a Segway before. She was a patient, experienced coach and got us all riding confidently, in a very short amount of time.

She took us on a tour of key sites in Barcelona, and was well versed in the history of them. She gave is many useful follow-up tips and suggestions for the rest of our time in Barcelona.

She even went out of her way to help our daughter fully experience the trip while attending to the whole group in 2 languages (ours was a mixed German and English group).

The offering was a great value, the company well organized, and assigned guides so that there were no more than 6 participants in any group. We did this near the end of our week in Barcelona—and felt that it was the best group tour by far that we had taken.",
181,Very neat,"We went on a Segway tour with Chavi in English. His English was excellent, had a great sense of humor, and we had a wonderful time.",
182,Lovely stroll.,I booked the tour through Go City and it was definitely one of the best things I did whilst in Barcelona. Having never been on a segway before Hernindo our guide was great with me I felt very confident. This is a much book experience.,
183,Best place to stay in Barcelona - close to everything!,"Tomás was my tour guide today, he was so welcoming and knowledgeable, it was the most fun and informative tour I've ever been on and I can't recommend it enough. Erica was so lovely and helpful and couldn't do enough to help, she helped me to rearrange my tour and times, she was so patient and welcoming, I will definitely be back.",
184,Get away from the Ramblas and explore this part of town!,"When we booked our trip we saw we could do this with our Go City pass if we booked in advance so emailed when we were over and booked and we weren’t disappointed.

Before we even arrived we had fantastic communication via email and what’s app with Erica

We arrived and were greeted promptly. Our tour guide Xavi was friendly and had a wonderful sense of humour.

I took my 20 year old son and there was a couple from Columbia and Mike from Arizona. All 5 of us were Rookies to Segways and Xavi quickly put us at ease with the Segway and controlling them

We stopped and learned about history and visited sights including the magnificent church Basilica of Santa Maria del Mar, the port and even the beach

Plenty of photo opportunities

No Segway option on Strava so did as an e bike

We highly recommend for 2 hours of fun and wanted to keep the Segways

Thank you Erica and Xavi

Keep up the great work",
185,Best piece of Barca,"1,557 reviews",
186,Gothic Must,"A must-see for history buffs, this tour has an amazing and deeply knowledgable guide (my guide was Catherine), a truly compelling, tragic, and moving storyline, artifacts that you can see and touch, a not-too-far walk around central Barcelona, and even a coffee break... So much detail on historical events that continue to resonate in Spain and all over the world. The story is complicated and depressing, but Catherine does a masterful job of bringing it all into focus with her detailed stories, props, and artifacts. Highly recommended and worth every penny. Several on my tour were repeat customers, bringing friends, which speaks to the quality of the tour. Wear shoes that are comfy for standing and walking; dress for the weather, with a hat or sunglasses on sunny days, and bring water on hot days.",
187,Lovely memories,"This was a remarkable experience. Catherine's knowledge base was matched by her passion for the subject matter. Because of the lively Q&A and her desire to address questions fully, the session went over by an hour or more. More of a university level mini-course than a walk for casual touritists. I would do additional tours with her in a heartbeat!",
188,Highly recommended,"We had a GREAT experience with Roberto as he led us through to all it's highlights. Great stories, history, side notes, quips etc., As another reviewer here said, it may help if he did wear a mic and did speak a bit slower- but we could follow everything said as we were up front. He was knowledgeable and funny - and he was the best guide vs all teh paid tours we did in 3 countries! Go Roberto and thank you Purple Umbrella tours!",
189,Well worth it,"This really was the highlight of my recent visit to Barcelona.

Nick has an encyclopedlic knowledge of the Spanish Civil War and its wider context. Anyone who can explain the tensions within the Spanish Leftist factions on a sheet of A3 clearly knows his stuff!

I knew a little about the Spanish Civil War already but the tour has hugely added to my knowledge and the reading list provided will take a while to work through.

Nick is a passionate and engaging speaker, always ready for questions but never talking down to his audience. He brought the events of 1936-39 alive, looking at both sides of the conflict and showing us a number of pictures, photographs and items from the conflict. He humanises the war by looking at two particular individuals caught up in it and their stories.

You can join this tour with zero knowledge of the Spanish Civil War and finish it informed, moved and keen to learn more. With fascism once more on the rise in Europe, there's never been a better time to learn from history.",
190,Favourite place in Barcelona,"Don't miss this tour. For years, we've done history tours whenever we travel in Europe. By far, Catherine's Spanish Civil War Tour was the best one yet. She's a unique combination of a great teacher and an inspired dramatist. Never a dull moment on this fascinating tour. Very accessible, no need for any background. Catherine should write and produce her own documentary!

We especially enjoyed how she focused on the lives of the people of Barcelona during this tumultuous time, their suffering and their courage, highlighting one particular young man. She brought a complex history to life in all its facets, describing the origins of the war, and deftly revealing the various forces at work, the dramatic battles, and the unique situation in Barcelona at that time. Good pacing, Interactive. Open to all questions. Illustrated with an archive she carried in her backpack, and by moving passages from George Orwell's Homage to Catalonia. Presented with passion. A very emotional experience for us, and a great inspiration to do whatever we can in our own circumstances to work for peace in the world. Unforgettable!",
191,Narrow Streets Among Historic Buildings,Don't miss this tour! Catherine made the history of the Civil War in Barcelona come alive. Her knowledge of the subject is encyclopedic. And she shares all she knows with great passion and clarity. Her tour has been one of the highlights of our stay in Spain.,
192,Amazing stay!,"This is a brilliant tour - go if you are interested in the history of Barcelona, in the Spanish Civil War and/or the politics of the left. Nick is very knowledgable and a good communicator. The use of photographs and other artefacts is really innovative and involving. I’d give it 6 stars if I could.",
193,Gothic Quarter was a convenient place to stay,This is a brilliant tour - extremely knowledgeable and giving real insight into the subject and what happened in Barcelona. Catherine our guide was truly excellent.,
194,Worth a wander around,"A fantastic tour of Barcelona from a very different perspective. My two teenage daughters and I did a private tour with Catherine on Good Friday. Catherine is incredibly knowledegable, friendly and approachable. All three of us had a fantastic time, and learned so much that changed our view of the rest of our time in Barcelona - in a good way! Highly recommend!",
195,Cool streets with so much energy,"1,557 reviews",
196,Wandering back in time,"Real highlight of our trip. Nick was a super knowledgeable guide, he did an excellent job of weaving in individual histories to the larger conflict. He also has a great collection of artifacts to share. Was easy to communicate with and accommodated our children gracefully into his tour.",
197,Go!!!,"With her comprehensive knowledge of the Spanish Civil War, Catherine conducted the tour with a passion that matched her expertise. Focusing on the human drama and complexity of the period, she unraveled a tale that defies comprehension yet still connected the disparate pieces of the narrative while addressing the individual questions and concerns of the participants. Catherine’s presentation enabled me to better understand my late mother’s experience of the Civil War and its impact on her life. By tour’s end, I felt that I was actually there.",
198,Great to walk through,"I am not a history buff and knew next to nothing about the Spanish Civil War before our tour with guide Catherine . Her Irish accent made it easy to listen with our American ears :) She took a complex subject and spellbindingly explained so you can feel what the residents of Barcelona experienced in those turbulent times. Her depth of knowledge didn’t allow for easy generalization but her presentation, with maps artifacts and short quotes from first hand material, made it comprehensible. She had us teary eyed with the moving stories, starting with poverty of the Great Depression and ending with the Nazi trials and brave resistance from those suffering from the Civil War and ending up captured in WW II.
As a 3-hr walking tour I expected more walking but we tending to move a block at a time and then time for presentation and discussion. she catered her details to the interests of the dozen or so participants. again I’m not a scholar nor history buff but every minute of the tour was engaging.",
199,Feels like stepping back in time,"Incredible and informative tour. Catherine our tour guide knew everything about the topic, yet made it human and relatable. Our family matriarch survived the Spanish Civil War and the tour helped all four of us to understand her and her life struggles on a personal level, along with all of Spain in the period. I couldn't recommend this tour and it's guide higher.",
200,WARNING :Robbery on the street!!!! Gotic Quarter - Carrer de Ferran,"This was a fantastic tour from Placa de Catalunya to Placa San Felip neri. Catherine provides an excellent crash course covering 1930s Spanish politics. She gives lots of information with passion and enthusiasm with an awesome Irish accent. Catherine uses the Barcelona architecture, photos, and artifacts they have collected over the years. She also has her beat up copy of Orwell's ""Homage to Catalonia"" that she uses to give us some eyewitness description of what was happening in the war and on the Ramblas. My 15 year old daughter enjoyed it and it was 4 hours of interactive learning. I will also say that the tour participants added to the rich experience. Well worth it!",
201,"If you're tired, you won't miss anything by not doing this.","Catherine led us through the stops and brought history to life with both the artifacts she carried and also the lively way in which she explained the occurrences. We were a small group and she encouraged a dialogue as we went, which was also fantastic. This tour is a Barcelona highlight and more: I’ve taken many European history tours and this one was exceptional. The history resonates today quite loudly, which also recommends the tour.",
202,A bit of a come-down,"This was a fascinating tour, led by Nick, who delivered a huge amount of information in a concise and understandable fashion to a rapt audience. His delivery was terrific and the use of photographs and memorabilia of the actual civil war made the tour very evocative. I would thoroughly recommend it.",
203,No refund if holiday cancelled.,"Nick weaves together the human stories with the bigger picture in such an engaging, accesible and moving way. His knowledge and enthusiasm are next level!

History comes more alive if you are walking the ground and this tour does that of course, but this is especially so with Nick there and his cast of characters.

You will get up close to some of the buildings associated with Orwell during his time in the city. Also the tour stops at places that saw the opening moves and tragedy during the citizens of Barcelona (and the sympathetic individuals of the world who came to Spain) as they struggled against fascism.

The original 1930's SCW objects that Nick brings along add a tactile, real and often touching element to a tour that will linger long in the memory. Book early, this is a tour that should be top of your list when you visit Barcelona!!

",
204,Free Walking tour no show,"Catherine, an academic and historian, did an excellent job breaking down the confusion that is the Spanish Civil War, making it interesting and understandable. She did so with clarity, enthusiasm and humor, owning a true talent for teaching.

The tour lasted 3.5 hours but felt much quicker. Part of that was how engaging Catherine was. The other part was getting the opportunity to sit on benches a couple of times plus learning more while sipping yummy coffees in a cafe together.

This tour is a true gem, run by folks who love history and love even more the sharing of it. They are a pleasure to work with and quick in their communications.

I would recommend this tour both for people already knowledgable of the Civil War as well as those who know next to nothing. Everyone with even a bit of curiously and love for history will enjoy it greatly.",
205,Guide didn't show up,"Unbelievable. Learned so much from Catherine who was extremely knowledgeable in the history but also passionate, lively and able to show us amazing artifacts. It was truly an academic tour de force but so much fun and so interesting too. This is a must event for anyone who wants to have fun while also being an informed traveler and learning about where you are and what you are experiencing. Thank you from Deborah Agus and Robert Kleinman",
206,Interesting night out,"1,557 reviews",
207,Do it Yourself,This tour is just wonderful. Nick (host) really brings 1930’s Barcelona alive by bringing actual items and photographs from the period. He explained the complexities of the various groups in the war in a straightforward manner. Nick brought the human touch to a piece of history.,
208,Fun free walking tour with JC,"Excellent tour! Very detailed, but engaging nonetheless. Nick answered everyone’s questions really well and tailored his your to people of all knowledge levels and backgrounds. He was very personable and made an effort to get to know everyone and remember all our names.",
209,Tour with Juan Carlos,"Nick brought the history of the Spanish Civil War alive in a way that I've never seen done at any other historical presentation in a classroom, film, national park, or historic site. He brought along many old pictures and artifacts. Perhaps this was a bit geeky but it really deepened my understanding of Barcelona, Spain, and how what happened in Spain influenced WWII. Great for Orwell readers. Not a tour for little kids.",
210,Tapas and Flamenco Experiance,"My partner and I joined this walking tour, which details the political and ideological conflicts within Barcelona during Spanish Civil War, with a specific focus on left-factions. Nick was a truly gracious, studious, and powerful guide throughout; weaving high-level historical and geopolitical material together with the deeply personal stories of those who joined POUM, the CNT, and the Republican cause against fascism. We were particularly struck by how deep and broad his knowledge was, fielding a range of questions from the audience with lightening-fast answers and a deeply humanistic outlook on the conflict. While neither of us are sentimentalist about history or our politics, we both spent the remainder of the day gob-smacked by the tour and how affecting we found it.

We will be recommending this to all.",
211,Marvellous tour,"A wonderful trip through the alternately inspiring and sad history of the war that presaged WW2. Nick’s tour makes history come alive in the sites throughout central Barcelona. Best part: the interaction between Nick and the people taking the walk. Nick deals with questions honestly and skilfully. Be ready for some walking. Not necessary, but those who read up a bit on the history of this war or have read Orwell’s memoir of his time as a volunteer soldier in Spain will get even more from the walk.",
212,Kayaking and Snorkeling Costa Brava,"This tour with Nick Lloyd is unparalleled. Do it. He covers the reasons behind the war, the international background and effects. Its legacy. I'm a history nerd and I loved It. My wife isn't a nerd but she was touched by the humanity of it.
On our tour were a South Korean, an Irish lady, English and Americans. We ranged from about 20 to 60 in age and we all seemed engaged and attentive.

This three and a half hours tour ended up at almost four hours with our questions being answered knowledgeably and with understanding and compassion.

You will not be disappointed!",
213,Great Way to Enjoy the Ocean!,"A very interesting tour which explains and elaborates on the underlying political tensions and brings to life the characters who played a significant part in the war in Barcelona. Nick took us to key locations and showed us photos and artefacts he had passionately collected, making it very easy to imagine the harsh reality of life there during the 1930s. I would definitely recommend if you are open to spending a few hours delving deeper into the recent history of Barcelona.",
214,Fun unusual tour - highly recommend,"Brilliant.

I was initially quite skeptical about how the whole 'walking museum' tour would work - but it was executed flawlessly. Nick (the tour guide) has quite literally written the book on the experience of Barcelona in the Civil War - and has accumulated enough gems and curios (to say nothing of the stories) to make the three and a half hour tour fly by.

Delightfully analog. Excellent value for money. Compulsory for any English Speaking history buff who's interested in the Civil War history. Do it.",
